Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,city,state,population
Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,29905,1955,Downers Grove,Illinois,49354.0
Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019 (1897),Midland,Michigan,42512.0
DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995,Detroit,Michigan,620376.0
Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,Charlotte,North Carolina,897720.0
DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,1666700,2017 (1802),Wilmington,Delaware,71569.0
Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,915389,1920,Kingsport,Tennessee,56150.0
eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",2002-07-22,1065088,1995,San Jose,California,971233.0
Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,31462,1923,Saint Paul,Minnesota,303176.0
Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886,Rosemead,California,49791.0
Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800,1958,Irvine,California,313685.0
Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515,1982,Redwood,California,80512.0
Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890,Ferguson,Missouri,18143.0
Enphase,Information Technology,Electronic Components,"Fremont, California",2021-01-07,1463101,2006,Fremont,California,223871.0
Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984,1913,New Orleans,Louisiana,369749.0
EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189,1999,Houston,Texas,2302878.0
EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,1352010,1993,Newtown,Pennsylvania,2262.0
EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,33213,1888,Pittsburgh,Pennsylvania,302898.0
Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,1899,Atlanta,Georgia,499127.0
Equinix,Real Estate,Data Center REITs,"Redwood City, California",2015-03-20,1101239,1998,Redwood,California,80512.0
Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",2001-12-03,906107,1969,Chicago,Illinois,2665039.0
Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",2014-04-02,920522,1971,San Mateo,California,100984.0
Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",2006-01-05,1001250,1946,New York,New York,8335897.0
Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",2020-09-21,1370637,2005,New York,New York,8335897.0
Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269,1909,Kansas,Missouri,509297.0
Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",2009,72741,1966,Hartford,Connecticut,120686.0
Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",1957-03-04,1109357,2000,Chicago,Illinois,2665039.0
Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2007-10-02,1324424,1996,Seattle,Washington,749256.0
